id,english,česky
1,komický,comic
2,chemie,chemistry
3,fyzika,physics
4,do,abroad
5,umělý,abortion
6,u,at
7,atraktivní,attractive
8,být,be
9,chlapec,boy
10,ale,but
11,každý,every
12,rodina,family
13,plochý,flat
14,pro,for
15,dobrý,good
16,zde,here
17,práce,job
18,láska,love
19,štastný,lucky
20,pěkný,nice
21,ne,no
22,lidé,people
23,ten,this
24,čas,time
25,velice,very
26,kdo,who
27,proč,why
28,začít,start
29,o,about
30,opět,again
31,zaneprázdněný,busy
32,nechat,let
33,potkat,meet
34,pojmenovat,name
35,nový,new
36,na,on
37,nebo,or
38,tam,there
39,tito,these
40,ti,those
41,žena,woman
42,když,as
43,právě,just
44,noc,night
45,malý,little
46,postel,bed
47,ložnice,bedroom
48,dokončit,finish
49,jít,go
50,půl,half
51,domov,home
52,domácí,homework
53,příběh,story
54,čaj,tea
55,dnes,tonight
56,také,too
57,psát,write
58,časně,early
59,jiný,unlike
60,schopný,able
61,veškerý,all
62,obtížný,difficult
63,snadný,easy
64,cizí,foreign
65,život,life
66,omyl,mistake
67,jistý,sure
68,to,that
69,titul,title
70,společně,together
71,pravdivý,true
72,nějaký,some
73,jaký,what
74,hlas,voice
75,velký,large
76,ovoce,fruit
77,za,behind
78,zvýšit,increase
79,pozvat,invite
80,spíše,rather
81,tehdy,then
82,návštěva,visit
83,ještě,still
84,po,after
85,pohodlný,comfortable
86,vynikající,excellent
87,přátelský,friendly
88,host,guest
89,žertovat,joke
90,rozkošný,lovely
91,který,which
92,dost,enough
93,další,another
94,oděvy,clothing
95,jiný,else
96,rád,glad
97,jestliže,if
98,většina,most
99,další,next
100,jiný,other
101,docela,quite
102,něco,something
103,dosud,yet
104,určitě,certainly
105,kopie,copy
106,košíková,basketball
107,před,before
108,mezi,between
109,zaujatý,interested
110,vnější,outside
111,dát,put
112,předmět,subject
113,lístek,ticket
114,zima,winter
115,přední,leading
116,víc,more
117,usmívat,smile
118,celek,whole
119,hudba,music
120,divadlo,theater
121,podél,along
122,topení,heating
123,květina,flower
124,potraviny,food
