src,trg,prn
já,yo,jo
ty,tú,tu
on,él,el
ona,ella,eja
my (muži),nosotros,nosotros
my (ženy),nosotras,nosotras
vy (muži),vosotros,vosotros
vy (ženy),vosotras,vosotras
oni (muži),ellos,ejos
ony (ženy),ellas,ejasno

nula,cero,thero
jedna,uno,uno
dva,dos,dos
tři,tres,tres
čtyři,cuatro,kuatro
pět,cinco,thinko
šest,seis,sejs
sedm,siete,sjete
osm,ocho,ocho
devět,nueve,nuebe
deset,diez,djes

modrá,azul,asul
zelená,verde,berde
červená,rojo,roho
žlutá,amarillo,amariho
oranžová,naranja,naranha
fialová,morado,morado
růžová,rosa,rosa
hnědá,marrón,mahron
šedá,gris,gris
černá,negro,negro

otec,padre,padre
matka,madre,madre
bratr,hermano,ermano
sestra,hermana,ermana
dědeček,abuelo,abuehlo
babička,abuela,abuehla
syn,hijo,eeho
dcera,hija,eeha
strýc,tío,tio
teta,tía,tia
