english,czech,id,pronunciation,audio,item_order
car,auto,,kˈɑːɹ,car,1
cars,auta,,kˈɑːɹz,cars,2
apple,jablko,,ˈæpəl,apple,3
apples,jablka,,ˈæpəlz,apples,4
box,krabice,,bˈɑːks,box,5
boxes,krabice,,bˈɑːksᵻz,boxes,6
goose,husa,,ɡˈuːs,goose,7
geese,husy,,ɡˈiːs,geese,8
child,dítě,,tʃˈaɪld,child,9
children,děti,,tʃˈɪldɹən,children,10
man,muž,,mˈæn,man,11
men,muži,,mˈɛn,men,12
wife,manželka,,wˈaɪf,wife,13
wives,manželky,,wˈaɪvz,wives,14
half,půl,,hˈæf,half,15
halves,půlky,,hˈævz,halves,16
knife,nůž,,nˈaɪf,knife,17
knives,nože,,nˈaɪvz,knives,18
loaf,bochník,,lˈoʊf,loaf,19
loaves,bochníky,,lˈoʊvz,loaves,20
leaf,list,,lˈiːf,leaf,21
leaves,listy,,lˈiːvz,leaves,22
shelf,police,,ʃˈɛlf,shelf,23
shelves,police,,ʃˈɛlvz,shelves,24
thief,zloděj,,θˈiːf,thief,25
thieves,zloději,,θˈiːvz,thieves,26
wolf,vlk,,wˈʊlf,wolf,27
wolves,vlci,,wˈʊlvz,wolves,28
life,život,,lˈaɪf,life,29
lives,životy,,lˈaɪvz,lives,30
proof,důkaz,,pɹˈuːf,proof,31
proofs,důkazy,,pɹˈuːfs,proofs,32
safe,trezor,,sˈeɪf,safe,33
safes,trezory,,sˈeɪfs,safes,34
cliff,útes,,klˈɪf,cliff,35
cliffs,útesy,,klˈɪfs,cliffs,36
roof,střecha,,ɹˈuːf,roof,37
roofs,střechy,,ɹˈuːfs,roofs,38
dwarf,trpaslík,,dwˈɔːɹf,dwarf,39
dwarfs,trpaslíci,,dwˈɔːɹfs,dwarfs,40
dwarves,trpaslíci,,dwˈɔːɹvz,dwarves,41
hoof,kopyto,,hˈuːf,hoof,42
hoofs,kopyta,,hˈuːfs,hoofs,43
hooves,kopyta,,hˈuːvz,hooves,44
scarf,šátek,,skˈɑːɹf,scarf,45
scarfs,šály,,skˈɑːɹfs,scarfs,46
scarves,šály,,skˈɑːɹvz,scarves,47
handkerchief,kapesník,,hˈændkɚtʃˌiːf,handkerchief,48
handkerchiefs,kapesníky,,hˈændkɚtʃˌiːfs,handkerchiefs,49
handkerchieves,kapesníky,,hˈændkɚtʃˌiːvz,handkerchieves,50
man,muž,,mˈæn,man,51
men,muži,,mˈɛn,men,52
woman,žena,,wˈʊmən,woman,53
women,ženy,,wˈɪmɪn,women,54
sportsman,sportovec,,spˈɔːɹtsmən,sportsman,55
sportsmen,sportovci,,spˈɔːɹtsmɛn,sportsmen,56
Englishman,Angličan,,ˈɪŋɡlɪʃmən,englishman,57
Englishmen,Angličané,,ˈɪŋɡlɪʃmˌɛn,englishmen,58
German,Němec,,dʒˈɜːmən,german,59
Germans,Němci,,dʒˈɜːmənz,germans,60
woman,žena,,wˈʊmən,woman,61
women,ženy,,wˈɪmɪn,women,62
foot,noha,,fˈʊt,foot,63
feet,nohy,,fˈiːt,feet,64
tooth,zub,,tˈuːθ,tooth,65
teeth,zuby,,tˈiːθ,teeth,66
mouse,myš,,mˈaʊs,mouse,67
mice,myši,,mˈaɪs,mice,68
goose,husa,,ɡˈuːs,goose,69
geese,husy,,ɡˈiːs,geese,70
louse,veš,,lˈaʊs,louse,71
lice,vši,,lˈaɪs,lice,72
dice,kostky,,dˈaɪs,dice,73
dice,kostky,,dˈaɪs,dice,74
penny,penny,,pˈɛni,penny,75
pence,pence,,pˈɛns,pence,76
child,dítě,,tʃˈaɪld,child,77
children,děti,,tʃˈɪldɹən,children,78
ox,vůl,,ˈɑːks,ox,79
oxen,voli,,ˈɑːksən,oxen,80
sheep,ovce,,ʃˈiːp,sheep,81
fish,ryba,,fˈɪʃ,fish,82
fish,ryba,,fˈɪʃ,fish,83
aircraft,letadlo,,ˈɛɹkɹæft,aircraft,84
aircraft,letadlo,,ˈɛɹkɹæft,aircraft,85
species,druh,,spˈiːsiːz,species,86
species,druh,,spˈiːsiːz,species,87
series,série,,sˈɪɹiz,series,88
deer,jelen,,dˈɪɹ,deer,89
deer,jelen,,dˈɪɹ,deer,90
moose,los,,mˈuːs,moose,91
moose,los,,mˈuːs,moose,92
offspring,potomstvo,,ˈɔfspɹɪŋ,offspring,93
offspring,potomstvo,,ˈɔfspɹɪŋ,offspring,94
person,osoba,,pˈɜːsən,person,95
people,lidé,,pˈiːpəl,people,96
tomato,rajče,,təmˈeɪɾoʊ,tomato,97
tomatoes,rajčata,,təmˈeɪɾoʊz,tomatoes,98
radio,rádio,,ɹˈeɪdɪˌoʊ,radio,99
radios,rádia,,ɹˈeɪdɪˌoʊz,radios,100
hero,hrdina,,hˈiəɹoʊ,hero,101
heroes,hrdinové,,hˈiəɹoʊz,heroes,102
potato,brambor,,pətˈeɪɾoʊ,potato,103
potatoes,brambory,,pətˈeɪɾoʊz,potatoes,104
goods,zboží,,ɡˈʊdz,goods,105
barracks,kasárny,,bˈɛɹəks,barracks,106
scissors,nůžky,,sˈɪsɚz,scissors,107
trousers,kalhoty,,tɹˈaʊsɚz,trousers,108
pyjamas,pyžama,,pədʒˈɑːməz,pyjamas,109
glasses,brýle,,ɡlˈæsᵻz,glasses,110
cattle,dobytek,,kˈæɾəl,cattle,111
