ids,englishs,czechs,pronunciations
"6,3399","hurt,hurt","ublížit,zraněný","hˈɜːt,hˈɜːt"
"7,1767","hurry,hurry","spěchat,spěch","hˈɜːɹi,hˈɜːɹi"
"16,2607","hope,hope","naděje,doufat","hˈoʊp,hˈoʊp"
"19,1951","home,home","domov,domů","hˈoʊm,hˈoʊm"
"22,1946","hold,hold","držet,držení","hˈoʊld,hˈoʊld"
"29,1982","high,high","vysoký,zhulený","hˈaɪ,hˈaɪ"
"33,3519","judge,judge","soudce,soudit","dʒˈʌdʒ,dʒˈʌdʒ"
"41,42","its,its","její,jeho","ˈɪts,ˈɪts"
"56,1819","in,in","v,dovnitř","ˈɪn,ˈɪn"
"64,2808","guess,guess","odhad,hádat","ɡˈɛs,ɡˈɛs"
"66,2835","group,group","skupina,seskupit","ɡɹˈuːp,ɡɹˈuːp"
"69,1613","green,green","zelený,nezkušený","ɡɹˈiːn,ɡɹˈiːn"
"84,6209","good,good","dobrý,vhodný","ɡˈʊd,ɡˈʊd"
"94,1898","help,help","pomáhat,pomoc","hˈɛlp,hˈɛlp"
"108,109","hard,hard","tvrdý,náročný","hˈɑːɹd,hˈɑːɹd"
"116,1592","half,half","půl,rozpůlit","hˈæf,hˈæf"
"123,6859","mine,mine","moje,důl","mˈaɪn,mˈaɪn"
"134,151","Miss,miss","slečna,minout","mˈɪs,mˈɪs"
"135,2392,6869","mean,mean,mean","střední,zamýšlet,zlý","mˈiːn,mˈiːn,mˈiːn"
"138,139","May,may","květen,může","mˈeɪ,mˈeɪ"
"140,2352","matter,matter","hmota,záležitost","mˈæɾɚ,mˈæɾɚ"
"142,3178","match,match","zápas,zápasit","mˈætʃ,mˈætʃ"
"143,3175,3176","March,march,march","březen,pochod,pochodovat","mˈɑːɹtʃ,mˈɑːɹtʃ,mˈɑːɹtʃ"
"150,3143","mail,mail","pošta,poslat poštou","mˈeɪl,mˈeɪl"
"153,3466","name,name","jméno,jmenovat","nˈeɪm,nˈeɪm"
"163,2045","move,move","pohyb,pohybovat","mˈuːv,mˈuːv"
"165,2093","mobile,mobile","pohyblivý,mobilní","mˈoʊbəl,mˈoʊbəl"
"186,2977","laugh,laugh","smát se,smích","lˈæf,lˈæf"
"193,2968","leave,leave","opustit,dovolená","lˈiːv,lˈiːv"
"198,3049","kiss,kiss","polibek,políbit","kˈɪs,kˈɪs"
"200,1174","kind,kind","laskavý,druh","kˈaɪnd,kˈaɪnd"
"202,3061","kid,kid","dítě,dobírat si","kˈɪd,kˈɪd"
"203,204","kick,kick","kopnout,kop","kˈɪk,kˈɪk"
"208,1458","left,left","vlevo,levice","lˈɛft,lˈɛft"
"215,216","love,love","milovat,láska","lˈʌv,lˈʌv"
"217,1292","lot,lot","hodně,úděl","lˈɑːt,lˈɑːt"
"218,962","look,look","podívejte,vzhled","lˈʊk,lˈʊk"
"219,1317","long,long","dlouhý,dlouho","lˈɔŋ,lˈɔŋ"
"223,3284","live,live","živý,žít","lˈaɪv,lˈaɪv"
"224,3253","little,little","málo,malý","lˈɪɾəl,lˈɪɾəl"
"226,7371","list,list","seznam,vypsat","lˈɪst,lˈɪst"
"228,7366","line,line","čára,řádka","lˈaɪn,lˈaɪn"
"230,231","like,like","mít rád,jako","lˈaɪk,lˈaɪk"
"232,233,3252","light,light,light","světlý,světlo,rozsvítit","lˈaɪt,lˈaɪt,lˈaɪt"
"9644,9647","you are,you are","ty jsi,vy jste",","
"242,243","dance,dance","tancovat,tanec","dˈæns,dˈæns"
"247,3856","cut,cut","sekat,střih","kˈʌt,kˈʌt"
