1,slovo,word,/wɝd/
3,z,of,/ʌv/
4,a,and,/ʌnd/
5,na,to,/tu/
6,v,in,/ɪn/
7,je,is,/ɪz/
8,že,that,/ðæt/
9,pro,for,/fɔɹ/
10,jako,as,/æz/
11,podle,by,/baɪ/
12,být,be,/bi/
13,to,it,/ɪt/
14,s,with,/wɪð/
15,na,on,/ɑn/
16,byl,was,/wɑz/
17,nebo,or,/ɔɹ/
18,ne,not,/nɑt/
19,tento,this,/ðɪs/
20,jsou,are,/ɑɹ/
21,z,from,/fɹʌm/
22,na,at,/æt/
23,on,he,/hi/
24,který,which,/wɪtʃ/
26,mít,have,/hæv/
27,jeho,his,/hɪz/
28,ale,but,/bʌt/
29,vy,you,/ju/
30,my,we,/wi/
31,vše,all,/ɔl/
32,byly,were,/wɝ/
33,oni,they,/ðeɪ/
34,jeden,one,/wʌn/
35,měl,had,/hæd/
36,má,has,/hæz/
37,vůle,will,/wɪl/
38,jejich,their,/ðɛɹ/
39,byl,been,/bɪn/
40,ostatní,other,/ʌðɝ/
41,pokud,if,/ɪf/
42,může,can,/kæn/
43,květen,may,/meɪ/
44,tam,there,/ðɛɹ/
45,by,would,/wʊd/
46,žádný,no,/noʊ/
47,více,more,/mɔɹ/
48,nový,new,/nu/
49,takový,such,/sʌtʃ/
50,jeho,its,/ɪts/
51,když,when,/wɛn/
52,žádný,any,/ɛni/
53,tyto,these,/ðiz/
54,szo,who,/hu/
55,tak,so,/soʊ/
56,jí,her,/hɝ/
57,čas,time,/taɪm/
58,než,than,/ðæn/
59,dělat,do,/du/
60,ona,she,/ʃi/
61,nějaký,some,/sʌm/
62,co,what,/wʌt/
63,o,about,/ʌbaʊt/
64,stát,state,/steɪt/
65,pouze,only,/oʊnli/
66,dva,two,/tu/
67,do,into,/ɪntu/
68,také,also,/ɔlsoʊ/
69,ven,out,/aʊt/
70,jim,them,/ðɛm/
71,náš,our,/aʊɝ/
72,řekl,said,/sɛd/
73,pod,under,/ʌndɝ/
74,první,first,/fɝst/
75,můj,my,/maɪ/
76,mu,him,/hɪm/
77,nahoru,up,/ʌp/
78,vidět,see,/si/
79,vyrobeno,made,/meɪd/
80,měl by,should,/ʃʊd/
81,po,after,/æftɝ/
82,bude,shall,/ʃæl/
83,vaše,your,/jɔɹ/
84,většina,most,/moʊst/
85,mohl,could,/kʊd/
86,pak,then,/ðɛn/
87,nad,over,/oʊvɝ/
88,každý,each,/itʃ/
89,rok,year,/jɪɹ/
90,práce,work,/wɝk/
91,státy,states,/steɪts/
92,kde,where,/wɛɹ/
93,použití,use,/jus/
94,roky,years,/jɪɹz/
95,mě,me,/mi/
96,mezi,between,/bɪtwin/
97,ty,those,/ðoʊz/
98,stejný,same,/seɪm/
99,teď,now,/naʊ/
100,mnoho,many,/mɛni/
101,přes,through,/θɹu/
102,na,upon,/ʌpɑn/
103,mošt,must,/mʌst/
104,dobře,well,/wɛl/
105,velmi,very,/vɛɹi/
106,generál,general,/dʒɛnɝʌl/
107,udělal,did,/dɪd/
108,před,before,/bɪfɔɹ/
109,použitý,used,/juzd/
110,protože,because,/bɪkɔz/
111,bytost,being,/biɪŋ/
112,část,part,/pɑɹt/
113,jako,like,/laɪk/
114,sjednocený,united,/junaɪtɪd/
115,lidé,people,/pipʌl/
116,během,during,/dʊɹɪŋ/
117,veřejnost,public,/pʌblɪk/
118,sekce,section,/sɛkʃʌn/
119,jak,how,/haʊ/
120,číslo,number,/nʌmbɝ/
121,akt,act,/ækt/
122,dokonce,even,/ivɪn/
124,soud,court,/kɔɹt/
125,věc,case,/keɪs/
126,systém,system,/sɪstʌm/
127,mnoho,much,/mʌtʃ/
128,tři,three,/θɹi/
129,obě,both,/boʊθ/
130,za,per,/pɝ/
131,voda,water,/wɔtɝ/
132,zákon,law,/lɔ/
133,život,life,/laɪf/
134,den,day,/deɪ/
135,společnost,company,/kʌmpʌni/
136,servis,service,/sɝvʌs/
137,dobrý,good,/gʊd/
138,cesta,way,/weɪ/
139,bez,without,/wɪθaʊt/
140,objednávka,order,/ɔɹdɝ/
141,velký,great,/gɹeɪt/
142,americký,american,/ʌmɛɹʌkʌn/
143,zatímco,while,/waɪl/
144,muž,man,/mæn/
145,však,however,/haʊɛvɝ/
