id,česky,english,pronunciation
1,komický,comic,/kɑːmɪk/
2,chemie,chemistry,/keɪməstriː/
3,fyzika,physics,/fɪzɪks/
4,chystám se udělat,gonna,/gɑːnə/
5,chtít,wanna,/wɑːnə/
6,v zahraničí,abroad,/əbrɔːd/
7,umělý potrat,abortion,/əbɔːrʃən/
8,u,at,/æt/
9,atraktivní,attractive,/ətræktɪv/
10,být,be,/biː/
11,protože,because,/bɪkɔːz/
12,chlapec,boy,/bɔɪ/
13,ale,but,/bʌt/
14,každý,every,/eɪvɜːriː/
15,rodina,family,/fæməliː/
16,plochý,flat,/flæt/
17,pro,for,/fɔːr/
18,dobrý,good,/gʊd/
19,šťastný,happy,/hæpiː/
20,mít,have,/hæv/
21,zde,here,/hiːr/
22,práce,job,/ʤɑːb/
23,láska,love,/lʌv/
24,štastný,lucky,/lʌkiː/
25,pěkný,nice,/naɪs/
26,ne,no,/nəʊ/
27,teď,now,/naʊ/
28,lidé,people,/piːpəl/
29,tento,this,/ðɪs/
30,čas,time,/taɪm/
31,velice,very,/veɪriː/
32,kde,where,/weɪr/
33,kdo,who,/huː/
34,proč,why,/waɪ/
35,s,with,/wɪð/
36,ano,yes,/jeɪs/
37,mladý,young,/jʌŋ/
38,z,from,/frʌm/
39,začít,start,/stɑːrt/
40,o,about,/əbaʊt/
41,opět,again,/əgeɪn/
42,zaneprázdněný,busy,/bɪziː/
43,dítě,child,/ʧaɪld/
44,děti,children,/ʧɪldrən/
45,třída,classroom,/klæsruːm/
46,nechat,let,/leɪt/
47,mě,me,/miː/
48,potkat,meet,/miːt/
49,pojmenovat,name,/neɪm/
50,nový,new,/nuː/
51,na,on,/ɑːn/
52,nebo,or,/ɔːr/
53,potěšený,pleased,/pliːzd/
54,tak,so,/səʊ/
55,děkovat,thank,/θæŋk/
56,tam,there,/ðeɪr/
57,tito,these,/ðiːz/
58,ti,those,/ðəʊz/
59,dnes,today,/tədeɪ/
60,manželka,wife,/waɪf/
61,žena,woman,/wʊmən/
62,když,as,/æz/
63,ahoj,hi,/haɪ/
64,právě,just,/ʤʌst/
65,noc,night,/naɪt/
66,často,often,/ɔːfən/
67,malý,little,/lɪtəl/
68,již,already,/ɔːlreɪdiː/
69,postel,bed,/beɪd/
70,ložnice,bedroom,/beɪdruːm/
71,bratr,brother,/brʌðɜːr/
72,všichni,everybody,/eɪvriːbɑːdiː/
73,dokončit,finish,/fɪnɪʃ/
74,jít,go,/gəʊ/
75,polovina,half,/hæf/
76,domov,home,/həʊm/
77,domácí úkol,homework,/həʊmwɜːrk/
78,zajímavý,interesting,/ɪntrəstɪŋ/
79,příběh,story,/stɔːriː/
80,čaj,tea,/tiː/
81,dnes večer,tonight,/tənaɪt/
82,také,too,/tuː/
83,psát,write,/raɪt/
84,časně,early,/ɜːrliː/
85,jiný než,unlike,/ənlaɪk/
86,ochotný,willing,/wɪlɪŋ/
87,schopný,able,/eɪbəl/
88,veškerý,all,/ɔːl/
89,obtížný,difficult,/dɪfəkəlt/
90,snadný,easy,/iːziː/
91,cizí,foreign,/fɔːrən/
92,život,life,/laɪf/
93,omyl,mistake,/mɪsteɪk/
94,jistý,sure,/ʃʊr/
95,to,that,/ðæt/
96,titul,title,/taɪtəl/
97,společně,together,/təgeɪðɜːr/
98,pravdivý,true,/truː/
99,nějaký,some,/sʌm/
100,jaký,what,/wʌt/
101,hlas,voice,/vɔɪs/
102,velký,large,/lɑːrʤ/
103,když,when,/weɪn/
104,drahý,expensive,/ɪkspeɪnsɪv/
105,ovoce,fruit,/fruːt/
106,vila,villa,/vɪlə/
107,prostřední,middle,/mɪdəl/
108,vždy,always,/ɔːlweɪz/
109,za,behind,/bɪhaɪnd/
110,během,during,/dʊrɪŋ/
111,zvýšit,increase,/ɪnkriːs/
112,pozvat,invite,/ɪnvaɪt/
113,znalost,knowledge,/nɑːləʤ/
114,spíše,rather,/ræðɜːr/
115,tehdy,then,/ðeɪn/
116,obvykle,usually,/juːʒəwəliː/
117,návštěva,visit,/vɪzɪt/
118,průmyslový,industrial,/ɪndʌstriːəl/
119,mnoho,many,/meɪniː/
120,ještě,still,/stɪl/
121,po,after,/æftɜːr/
122,pohodlný,comfortable,/kʌmfɜːrtəbəl/
123,vynikající,excellent,/eɪksələnt/
124,přátelský,friendly,/freɪndliː/
125,host,guest,/geɪst/
126,informovaný,informed,/ɪnfɔːrmd/
127,žertovat,joke,/ʤəʊk/
128,rozkošný,lovely,/lʌvliː/
129,který,which,/wɪʧ/
130,dost,enough,/ɪnʌf/
131,před (nějakou dobou),ago,/əgəʊ/
132,také,also,/ɔːlsəʊ/
133,další,another,/ənʌðɜːr/
134,oděvy,clothing,/kləʊðɪŋ/
135,odlišný,different,/dɪfɜːrənt/
136,jiný,else,/eɪls/
137,následovat,follow,/fɑːləʊ/
138,rád,glad,/glæd/
139,jestliže,if,/ɪf/
140,většina,most,/məʊst/
141,další,next,/neɪkst/
142,jiný,other,/ʌðɜːr/
143,snad,perhaps,/pɜːrhæps/
144,docela,quite,/kwaɪt/
145,sobota,saturday,/sætɜːrdiː/
146,pan,sir,/sɜːr/
147,něco,something,/sʌmθɪŋ/
148,takový,such,/sʌʧ/
149,dosud,yet,/jeɪt/
150,určitě,certainly,/sɜːrtənliː/
151,kopie,copy,/kɑːpiː/
152,ačkoli,although,/ɔːlðəʊ/
153,mezi,among,/əmʌŋ/
154,košíková,basketball,/bæskətbɔːl/
155,před,before,/bɪfɔːr/
156,mezi,between,/bɪtwiːn/
157,zaujatý,interested,/ɪntrəstɪd/
158,vnější,outside,/aʊtsaɪd/
159,dát,put,/pʊt/
160,předmět,subject,/səbʤeɪkt/
161,lístek,ticket,/tɪkət/
162,zima,winter,/wɪntɜːr/
163,zapomenout,forget,/fɜːrgeɪt/
164,přední,leading,/liːdɪŋ/
165,podobný,similar,/sɪməlɜːr/
166,víc,more,/mɔːr/
167,usmívat se,smile,/smaɪl/
168,celek,whole,/həʊl/
169,sázení,betting,/beɪtɪŋ/
170,hudba,music,/mjuːzɪk/
171,technický,technical,/teɪknɪkəl/
172,divadlo,theater,/θiːətɜːr/
173,podél,along,/əlɔːŋ/
174,topení,heating,/hiːtɪŋ/
175,květina,flower,/flaʊɜːr/
176,potraviny,food,/fuːd/
177,horký,hot,/hɑːt/
178,důležitý,important,/ɪmpɔːrtənt/
179,do,into,/ɪntuː/
180,proti,opposite,/ɑːpəzət/
181,záznam,record,/rəkɔːrd/
182,strana,side,/saɪd/
183,brzy,soon,/suːn/
184,nehoda,accident,/æksədənt/
185,modrý,blue,/bluː/
186,lékař,doctor,/dɑːktɜːr/
187,daleko,far,/fɑːr/
188,minulý,last,/læst/
189,zbylý,left,/leɪft/
190,rychlý,quick,/kwɪk/
191,rychle,quickly,/kwɪkliː/
192,opakovat,repeat,/rɪpiːt/
193,ten stejný,same,/seɪm/
194,obchod,shop,/ʃɑːp/
195,ulice,street,/striːt/
196,strašný,terrible,/teɪrəbəl/
197,doprava,traffic,/træfɪk/
198,otáčet,turn,/tɜːrn/
199,užitečný,useful,/juːsfəl/
200,různý,various,/veɪriːəs/
201,bílý,white,/waɪt/
202,včera,yesterday,/jeɪstɜːrdeɪ/
203,porovnat,compare,/kəmpeɪr/
204,východ,east,/iːst/
205,západ,west,/weɪst/
206,oba,both,/bəʊθ/
207,fotoaparát,camera,/kæmɜːrə/
208,plný,full,/fʊl/
209,sever,north,/nɔːrθ/
210,letadlo,plane,/pleɪn/
211,připravený,ready,/reɪdiː/
212,zůstat,stay,/steɪ/
213,obyvatelstvo,population,/pɑːpjəleɪʃən/
214,přístav,port,/pɔːrt/
215,místo,site,/saɪt/
216,umístěný,situated,/sɪʧuːeɪtɪd/
217,nemocný,ill,/ɪl/
218,sebemenší,least,/liːst/
219,méně,less,/leɪs/
220,část,part,/pɑːrt/
221,někdy,sometimes,/səmtaɪmz/
222,než,than,/ðæn/
223,sám,alone,/ələʊn/
224,pivo,beer,/bɪr/
225,džus,juice,/ʤuːs/
226,dáma,lady,/leɪdiː/
227,maso,meat,/miːt/
228,rýže,rice,/raɪs/
229,omáčka,sauce,/sɔːs/
230,polévka,soup,/suːp/
231,zda,whether,/weɪðɜːr/
232,nejhorší,worst,/wɜːrst/
233,nůž,knife,/naɪf/
234,několik,several,/seɪvrəl/
235,málo,few,/fjuː/
236,vnitřní,inner,/ɪnɜːr/
237,široký,wide,/waɪd/
238,láhev,bottle,/bɑːtəl/
239,máslo,butter,/bʌtɜːr/
240,sýr,cheese,/ʧiːz/
241,smetana,cream,/kriːm/
242,každý,each,/iːʧ/
243,všední,everyday,/eɪvriːdeɪ/
244,možný,possible,/pɑːsəbəl/
245,sůl,salt,/sɔːlt/
246,nakupování,shopping,/ʃɑːpɪŋ/
247,prodej,sale,/seɪl/
248,skoro,almost,/ɔːlməʊst/
249,kdokoli,anybody,/eɪniːbədiː/
250,cokoliv,anything,/eɪniːθɪŋ/
251,špatný,bad,/bæd/
252,rychlý,fast,/fæst/
253,zdravý,healthy,/heɪlθiː/
254,lékařský,medical,/meɪdəkəl/
255,nikdo,nobody,/nəʊbɑːdiː/
256,na (něco),onto,/ɑːntuː/
257,krátký,short,/ʃɔːrt/
258,věda,science,/saɪəns/
259,podzim,autumn,/ɔːtəm/
260,narozený,born,/bɔːrn/
261,šedý,grey,/greɪ/
262,opravdu,really,/rɪliː/
263,obloha,sky,/skaɪ/
264,údolí,valley,/væliː/
265,neděle,sunday,/sʌndeɪ/
266,září,september,/sɛpteɪmbɜːr/
267,popsat,describe,/dɪskraɪb/
268,častý,frequent,/friːkwənt/
269,jednoduchý,simple,/sɪmpəl/
270,mokrý,wet,/weɪt/
271,automatizační,automation,/ɔːtəmeɪʃən/
272,kulturní,cultural,/kʌlʧɜːrəl/
273,zlepšit,improve,/ɪmpruːv/
274,plán,plan,/plæn/
275,řešit,solve,/sɑːlv/
276,vkusný,elegant,/eɪləgənt/
277,zvláště,especially,/əspeɪʃliː/
278,klobouk,hat,/hæt/
279,včetně,including,/ɪnkluːdɪŋ/
280,způsob,manner,/mænɜːr/
281,lyžování,skiing,/skiːɪŋ/
282,sukně,skirt,/skɜːrt/
283,vhodný,suitable,/suːtəbəl/
284,ochranná známka,trademark,/treɪdmɑːrk/
285,herectví,acting,/æktɪŋ/
286,herec,actor,/æktɜːr/
287,drama,drama,/drɑːmə/
288,nenávidět,hate,/heɪt/
289,skoro,nearly,/nɪrliː/
290,až do,until,/əntɪl/
291,biologie,biology,/baɪɑːləʤiː/
292,dále,further,/fɜːrðɜːr/
293,zranit,hurt,/hɜːrt/
294,literatura,literature,/lɪtɜːrəʧɜːr/
295,možná,maybe,/meɪbiː/
296,převážně,mostly,/məʊstliː/
297,procento,percent,/pɜːrseɪnt/
298,všude,everywhere,/eɪvriːwɛr/
299,uvnitř,inside,/ɪnsaɪd/
300,princ,prince,/prɪns/
301,královna,queen,/kwiːn/
302,královský,royal,/rɔɪəl/
303,úspěšný,successful,/səkseɪsfəl/
304,neznámý,unknown,/ənnəʊn/
305,pod,below,/bɪləʊ/
306,mezinárodní,international,/ɪntɜːrnæʃənəl/
307,se,myself,/maɪseɪlf/
308,divoká příroda,wildlife,/waɪldlaɪf/
309,schopnost,ability,/əbɪlətiː/
310,přesnost,accuracy,/ækjɜːrəsiː/
311,akademie,academy,/əkædəmiː/
312,předchozí,previous,/priːviːəs/
313,sluneční brýle,sunglasses,/sʌnglæsɪz/
314,úplně,entirely,/ɪntaɪɜːrliː/
315,vzít,take,/teɪk/
316,podnebí,climate,/klaɪmət/
317,nedaleko,nearby,/nɪrbaɪ/
318,poměrně,relatively,/reɪlətɪvliː/
319,teplota,temperature,/teɪmprəʧɜːr/
320,vybavení,equipment,/ɪkwɪpmənt/
321,spravedlivý,fair,/feɪr/
322,zdraví,health,/heɪlθ/
323,stroje,machinery,/məʃiːnɜːriː/
324,přirozeně,naturally,/næʧɜːrəliː/
325,parfém,perfume,/pɜːrfjuːm/
326,příjemný,pleasant,/pleɪzənt/
327,poskytnout,provide,/prəvaɪd/
328,v hodnotě,worth,/wɜːrθ/
329,nápomocný,helpful,/heɪlpfəl/
330,garáž,garage,/gɜːrɑːʒ/
331,v,within,/wɪðɪn/
332,auto,automobile,/ɔːtəməʊbiːl/
333,rádio,radio,/reɪdiːəʊ/
334,nad,above,/əbʌv/
335,vhodný,convenient,/kənviːnjənt/
336,oheň,fire,/faɪɜːr/
337,pěší turistika,hiking,/haɪkɪŋ/
338,působivý,impressive,/ɪmpreɪsɪv/
339,lázně,spa,/spɑː/
340,styl,style,/staɪl/
341,částečně,partly,/pɑːrtliː/
342,datum,date,/deɪt/
343,důležitost,importance,/ɪmpɔːrtəns/
344,obnovení,restoration,/rɛstɜːreɪʃən/
345,dobytek,cattle,/kætəl/
346,slavný,famous,/feɪməs/
347,hlavní,major,/meɪʤɜːr/
348,míle,mile,/maɪl/
349,severozápad,northwest,/nɔːrθweɪst/
350,poezie,poetry,/pəʊətriː/
351,střílet,shoot,/ʃuːt/
352,jižní,southern,/sʌðɜːrn/
353,naprosto,absolutely,/æbsəluːtliː/
354,rada,advice,/ədvaɪs/
355,extrémně,extremely,/ɛkstriːmliː/
356,scéna,scene,/siːn/
357,adresa,address,/ædrɛs/
358,naprosto,completely,/kəmpliːtliː/
359,zmenšit,reduce,/rəduːs/
360,konečně,finally,/faɪnəliː/
361,řádný,proper,/prɑːpɜːr/
362,telefonovat,telephone,/teɪləfəʊn/
363,pokud,unless,/ənleɪs/
364,přání,wish,/wɪʃ/
365,lokalizovat,locate,/ləʊkeɪt/
366,policie,police,/pəliːs/
367,portrét,portrait,/pɔːrtrət/
368,zvlášť,separately,/seɪpɜːrətliː/
369,letadlo,aircraft,/eɪrkræft/
370,přesný,exact,/ɪgzækt/
371,americký fotbal,football,/fʊtbɔːl/
372,obrovský,huge,/hjuːʤ/
373,planeta,planet,/plænət/
374,sólový,solo,/səʊləʊ/
375,podpis,signature,/sɪgnəʧɜːr/
376,slavit,celebrate,/seɪləbreɪt/
377,legrace,fun,/fʌn/
378,rameno,shoulder,/ʃəʊldɜːr/
