english,czech
a,neurčitý člen
an,neurčitý člen
the,určitý člen
monday,
tuesday,
wednesday,
thursday,
friday,
saturday,
sunday,
one,jedna
two,dva
three,tři
four,čtyři
five,pět
six,šest
seven,sedm
eight,osm
nine,devět
ten,deset
eleven,jedenáct
twelve,dvanáct
thirteen,třináct
fourteen,čtrnáct
fifteen,patnáct
sixteen,šestnáct
seventeen,sedmnáct
eighteen,osmnáct
nineteen,devatenáct
twenty,dvacet
twenty-one,dvacet jedna
twenty-two,dvacet dva
thirty,třicet
forty,čtyřicet
fifty,padesát
sixty,šedesát
seventy,sedmdesát
eighty,osmdesát
ninety,devadesát
one hundred,sto
one thousand,tisíc
one thousand two hundred twenty-two,tisíc dvě stě dvacet dva
twelve hundred and thirty-four,dvanáct set třicet čtyři
one million,milion
one billion,miliarda
one trillion,bilion
first,první
second,druhý
third,třetí
fourth,čtvrtý
twenty-first,dvacátý první
twenty-second,dvacátý druhý
twenty-third,dvacátý třetí
twenty-fourth,dvacátý čtvrtý
thirtieth,třicátý
fortieth,čtyřicátý
fiftieth,padesátý
sixtieth,šedesátý
seventieth,sedmdesátý
eightieth,osmdesátý
ninetieth,devadesátý
one hundredth,stý
one hundred and first,sto první
one millionth,miliontý
one billionth,miliardtý
one trillionth,biliontý
spring,jaro
summer,léto
autumn,podzim
winter,zima
January,leden
February,únor
March,březen
April,duben
May,květen
June,červen
July,červenec
August,srpen
September,září
October,říjen
November,listopad
December,prosinec
morning,ráno
noon,poledne
afternoon,odpoledne
evening,večer
night,noc
midnight,půlnoc
January 15th, 15. ledna
15th of January, 15. ledna
car,
cars,
apple,
apples,
box,
boxes,
goose,
geese,
child,
children,
man,
men,
wife,
wives,
half,
halves,
knife,
knives,
loaf,
loaves,
leaf,
leaves,
shelf,
shelves,
thief,
thieves,
wolf,
wolves,
life,
lives,
proof,
proofs,
safe,
safes,
cliff,
cliffs,
roof,
roofs,
dwarf,
dwarfs,
dwarves,
hoof,
hoofs,
hooves,
scarf,
scarfs,
scarves,
handkerchief,
handkerchiefs,
handkerchieves,
man,
men,
woman,
women,
sportsman,
sportsmen,
Englishman,
Englishmen,
German,
Germans,
woman,
women,
foot,
feet,
tooth,
teeth,
mouse,
mice,
goose,
geese,
louse,
lice,
dice,
dice,
penny,
pence,
child,
children,
ox,
oxen,
sheep,ovce
fish,ryba
fish,ryby
aircraft,letadlo
aircraft,letadla
species,druh (živočišný)
species,druhy
series,série
deer,jelen
deer,jeleni
moose,los
moose,losi
offspring,mládě
offspring,mláďata
person,osoba
people,lidé
tomato,rajče
tomatoes,rajčata
radio,rádio
radios,rádia
hero,hrdina
heroes,hrdinové
potato,brambor
potatoes,brambory
goods,zboží
barracks,kasárna
scissors,nůžky
trousers,kalhoty
pyjamas,pyžamo
glasses,brýle
cattle,skot
allways,vždy
often,často
usually,obvykle
sometimes,někdy
never,nikdy
seldom,zřídka
rarely,ojediněle
hardly ever,téměř nikdy
normally,obvykle
frequently,často
occasionally,příležitostně
maybe,možná
may be,může být
probably,pravděpodobně
probable,pravděpodobný
likely,možná
