english,czech,id,pronunciation,audio,item_order
allways,vždycky,,ɔːlwˈeɪz,allways,1
often,často,,ˈɔfən,often,2
usually,obvykle,,jˈuːʒuːəli,usually,3
sometimes,někdy,,sˈʌmtaɪmz,sometimes,4
never,nikdy,,nˈɛvɚ,never,5
seldom,zřídka,,sˈɛldəm,seldom,6
rarely,zřídka,,ɹˈɛɹli,rarely,7
hardly ever,téměř nikdy,,hˈɑːɹdli ˈɛvɚ,hardly_ever,8
normally,normálně,,nˈɔːɹməli,normally,9
frequently,často,,fɹˈiːkwəntli,frequently,10
occasionally,občas,,əkˈeɪʒənəli,occasionally,11
maybe,možná,,mˈeɪbiː,maybe,12
may be,může být,,mˈeɪ bˈiː,may_be,13
probably,pravděpodobně,,pɹˈɑːbəbli,probably,14
probable,pravděpodobný,,pɹˈɑːbəbəl,probable,15
likely,pravděpodobně,,lˈaɪkli,likely,16
