id,word,translation,pronunciation
1,word,slovo,/wɜːrd/
2,the,the,/ðə/
3,of,z,/ʌv/
4,and,a,/ənd/
5,to,na,/tuː/
6,in,v,/ɪn/
7,is,je,/ɪz/
8,that,že,/ðæt/
9,for,pro,/fɔːr/
10,as,jako,/æz/
11,by,podle,/baɪ/
12,be,být,/biː/
13,it,to,/ɪt/
14,with,s,/wɪð/
15,on,na,/ɑːn/
16,was,byl,/wɑːz/
17,or,nebo,/ɔːr/
18,not,ne,/nɑːt/
19,this,tento,/ðɪs/
20,are,jsou,/ɑːr/
21,from,z,/frʌm/
22,at,na,/æt/
23,he,on,/hiː/
24,which,který,/wɪʧ/
25,an,an,/æn/
26,have,mít,/hæv/
27,his,jeho,/hɪz/
28,but,ale,/bʌt/
29,you,vy,/juː/
30,we,my,/wiː/
31,all,vše,/ɔːl/
32,were,byly,/wɜːr/
33,they,oni,/ðeɪ/
34,one,jeden,/wʌn/
35,had,měl,/hæd/
36,has,má,/hæz/
37,will,vůle,/wɪl/
38,their,jejich,/ðeɪr/
39,been,byl,/bɪn/
40,other,ostatní,/ʌðɜːr/
41,if,-li,/ɪf/
42,can,může,/kæn/
43,may,květen,/meɪ/
44,there,tam,/ðeɪr/
45,would,by,/wʊd/
46,no,žádný,/nəʊ/
47,more,více,/mɔːr/
48,new,nový,/nuː/
49,such,takový,/sʌʧ/
50,its,jeho,/ɪts/
51,when,když,/weɪn/
52,any,žádný,/eɪniː/
53,these,tyto,/ðiːz/
54,who,szo,/huː/
55,so,tak,/səʊ/
56,her,jí,/hɜːr/
57,time,čas,/taɪm/
58,than,než,/ðæn/
59,do,dělat,/duː/
60,she,ona,/ʃiː/
61,some,nějaký,/sʌm/
62,what,co,/wʌt/
63,about,o,/əbaʊt/
64,state,stát,/steɪt/
65,only,pouze,/əʊnliː/
66,two,dva,/tuː/
67,into,do,/ɪntuː/
68,also,také,/ɔːlsəʊ/
69,out,ven,/aʊt/
70,them,jim,/ðeɪm/
71,our,náš,/aʊɜːr/
72,said,řekl,/seɪd/
73,under,pod,/ʌndɜːr/
