english,czech,id,pronunciation,audio,item_order
allways,vždycky,,ɔːlwˈeɪz,allways,202
often,často,,ˈɔfən,often,203
usually,obvykle,,jˈuːʒuːəli,usually,204
sometimes,někdy,,sˈʌmtaɪmz,sometimes,205
never,nikdy,,nˈɛvɚ,never,206
seldom,zřídka,,sˈɛldəm,seldom,207
rarely,zřídka,,ɹˈɛɹli,rarely,208
hardly ever,téměř nikdy,,hˈɑːɹdli ˈɛvɚ,hardly_ever,209
normally,normálně,,nˈɔːɹməli,normally,210
frequently,často,,fɹˈiːkwəntli,frequently,211
occasionally,občas,,əkˈeɪʒənəli,occasionally,212
maybe,možná,,mˈeɪbiː,maybe,213
may be,může být,,mˈeɪ bˈiː,may_be,214
probably,pravděpodobně,,pɹˈɑːbəbli,probably,215
probable,pravděpodobný,,pɹˈɑːbəbəl,probable,216
likely,pravděpodobně,,lˈaɪkli,likely,217
