english,czech,id,pronunciation,audio,item_order
car,auto,,kˈɑːɹ,car,91
cars,auta,,kˈɑːɹz,cars,92
apple,jablko,,ˈæpəl,apple,93
apples,jablka,,ˈæpəlz,apples,94
box,krabice,,bˈɑːks,box,95
boxes,krabice,,bˈɑːksᵻz,boxes,96
goose,husa,,ɡˈuːs,goose,97
geese,husy,,ɡˈiːs,geese,98
child,dítě,,tʃˈaɪld,child,99
children,děti,,tʃˈɪldɹən,children,100
man,muž,,mˈæn,man,101
men,muži,,mˈɛn,men,102
wife,manželka,,wˈaɪf,wife,103
wives,manželky,,wˈaɪvz,wives,104
half,půl,,hˈæf,half,105
halves,půlky,,hˈævz,halves,106
knife,nůž,,nˈaɪf,knife,107
knives,nože,,nˈaɪvz,knives,108
loaf,bochník,,lˈoʊf,loaf,109
loaves,bochníky,,lˈoʊvz,loaves,110
leaf,list,,lˈiːf,leaf,111
leaves,listy,,lˈiːvz,leaves,112
shelf,police,,ʃˈɛlf,shelf,113
shelves,police,,ʃˈɛlvz,shelves,114
thief,zloděj,,θˈiːf,thief,115
thieves,zloději,,θˈiːvz,thieves,116
wolf,vlk,,wˈʊlf,wolf,117
wolves,vlci,,wˈʊlvz,wolves,118
life,život,,lˈaɪf,life,119
lives,životy,,lˈaɪvz,lives,120
proof,důkaz,,pɹˈuːf,proof,121
proofs,důkazy,,pɹˈuːfs,proofs,122
safe,trezor,,sˈeɪf,safe,123
safes,trezory,,sˈeɪfs,safes,124
cliff,útes,,klˈɪf,cliff,125
cliffs,útesy,,klˈɪfs,cliffs,126
roof,střecha,,ɹˈuːf,roof,127
roofs,střechy,,ɹˈuːfs,roofs,128
dwarf,trpaslík,,dwˈɔːɹf,dwarf,129
dwarfs,trpaslíci,,dwˈɔːɹfs,dwarfs,130
dwarves,trpaslíci,,dwˈɔːɹvz,dwarves,131
hoof,kopyto,,hˈuːf,hoof,132
hoofs,kopyta,,hˈuːfs,hoofs,133
hooves,kopyta,,hˈuːvz,hooves,134
scarf,šátek,,skˈɑːɹf,scarf,135
scarfs,šály,,skˈɑːɹfs,scarfs,136
scarves,šály,,skˈɑːɹvz,scarves,137
handkerchief,kapesník,,hˈændkɚtʃˌiːf,handkerchief,138
handkerchiefs,kapesníky,,hˈændkɚtʃˌiːfs,handkerchiefs,139
handkerchieves,kapesníky,,hˈændkɚtʃˌiːvz,handkerchieves,140
man,muž,,mˈæn,man,141
men,muži,,mˈɛn,men,142
woman,žena,,wˈʊmən,woman,143
women,ženy,,wˈɪmɪn,women,144
sportsman,sportovec,,spˈɔːɹtsmən,sportsman,145
sportsmen,sportovci,,spˈɔːɹtsmɛn,sportsmen,146
Englishman,Angličan,,ˈɪŋɡlɪʃmən,englishman,147
Englishmen,Angličané,,ˈɪŋɡlɪʃmˌɛn,englishmen,148
German,Němec,,dʒˈɜːmən,german,149
Germans,Němci,,dʒˈɜːmənz,germans,150
woman,žena,,wˈʊmən,woman,151
women,ženy,,wˈɪmɪn,women,152
foot,noha,,fˈʊt,foot,153
feet,nohy,,fˈiːt,feet,154
tooth,zub,,tˈuːθ,tooth,155
teeth,zuby,,tˈiːθ,teeth,156
mouse,myš,,mˈaʊs,mouse,157
mice,myši,,mˈaɪs,mice,158
goose,husa,,ɡˈuːs,goose,159
geese,husy,,ɡˈiːs,geese,160
louse,veš,,lˈaʊs,louse,161
lice,vši,,lˈaɪs,lice,162
dice,kostky,,dˈaɪs,dice,163
dice,kostky,,dˈaɪs,dice,164
penny,penny,,pˈɛni,penny,165
pence,pence,,pˈɛns,pence,166
child,dítě,,tʃˈaɪld,child,167
children,děti,,tʃˈɪldɹən,children,168
ox,vůl,,ˈɑːks,ox,169
oxen,voli,,ˈɑːksən,oxen,170
sheep,ovce,,ʃˈiːp,sheep,171
fish,ryba,,fˈɪʃ,fish,172
fish,ryba,,fˈɪʃ,fish,173
aircraft,letadlo,,ˈɛɹkɹæft,aircraft,174
aircraft,letadlo,,ˈɛɹkɹæft,aircraft,175
species,druh,,spˈiːsiːz,species,176
species,druh,,spˈiːsiːz,species,177
series,série,,sˈɪɹiz,series,178
deer,jelen,,dˈɪɹ,deer,179
deer,jelen,,dˈɪɹ,deer,180
moose,los,,mˈuːs,moose,181
moose,los,,mˈuːs,moose,182
offspring,potomstvo,,ˈɔfspɹɪŋ,offspring,183
offspring,potomstvo,,ˈɔfspɹɪŋ,offspring,184
person,osoba,,pˈɜːsən,person,185
people,lidé,,pˈiːpəl,people,186
tomato,rajče,,təmˈeɪɾoʊ,tomato,187
tomatoes,rajčata,,təmˈeɪɾoʊz,tomatoes,188
radio,rádio,,ɹˈeɪdɪˌoʊ,radio,189
radios,rádia,,ɹˈeɪdɪˌoʊz,radios,190
hero,hrdina,,hˈiəɹoʊ,hero,191
heroes,hrdinové,,hˈiəɹoʊz,heroes,192
potato,brambor,,pətˈeɪɾoʊ,potato,193
potatoes,brambory,,pətˈeɪɾoʊz,potatoes,194
goods,zboží,,ɡˈʊdz,goods,195
barracks,kasárny,,bˈɛɹəks,barracks,196
scissors,nůžky,,sˈɪsɚz,scissors,197
trousers,kalhoty,,tɹˈaʊsɚz,trousers,198
pyjamas,pyžama,,pədʒˈɑːməz,pyjamas,199
glasses,brýle,,ɡlˈæsᵻz,glasses,200
cattle,dobytek,,kˈæɾəl,cattle,201
