1,slovo,word
3,z,of
4,a,and
5,na,to
6,v,in
7,je,is
8,že,that
9,pro,for
10,jako,as
11,podle,by
12,být,be
13,to,it
14,s,with
15,na,on
16,byl,was
17,nebo,or
18,ne,not
19,tento,this
20,jsou,are
21,z,from
22,na,at
23,on,he
24,který,which
26,mít,have
27,jeho,his
28,ale,but
29,vy,you
30,my,we
31,vše,all
32,byly,were
33,oni,they
34,jeden,one
35,měl,had
36,má,has
37,vůle,will
38,jejich,their
39,byl,been
40,ostatní,other
41,-li,if
42,může,can
43,květen,may
44,tam,there
45,by,would
46,žádný,no
47,více,more
48,nový,new
49,takový,such
50,jeho,its
51,když,when
52,žádný,any
53,tyto,these
54,szo,who
55,tak,so
56,jí,her
57,čas,time
58,než,than
59,dělat,do
60,ona,she
61,nějaký,some
62,co,what
63,o,about
64,stát,state
65,pouze,only
66,dva,two
67,do,into
68,také,also
69,ven,out
70,jim,them
71,náš,our
72,řekl,said
73,pod,under
74,první,first
75,můj,my
76,mu,him
77,nahoru,up
78,vidět,see
79,vyrobeno,made
80,by měl,should
81,po,after
82,bude,shall
83,vaše,your
84,většina,most
85,mohl,could
86,pak,then
87,nad,over
88,každý,each
89,rok,year
90,práce,work
91,státy,states
92,kde,where
93,použití,use
94,roky,years
95,mě,me
96,mezi,between
97,ty,those
98,stejný,same
99,teď,now
100,mnoho,many
101,přes,through
102,na,upon
103,mošt,must
104,dobře,well
105,velmi,very
106,generál,general
107,udělal,did
108,před,before
109,použitý,used
110,protože,because
111,bytost,being
112,část,part
113,jako,like
114,sjednocený,united
115,lidé,people
116,během,during
117,veřejnost,public
118,sekce,section
119,jak,how
120,číslo,number
121,akt,act
122,dokonce,even
124,soud,court
125,věc,case
126,systém,system
127,mnoho,much
128,tři,three
129,obě,both
130,za,per
131,voda,water
132,zákon,law
133,život,life
134,den,day
135,společnost,company
136,servis,service
137,dobrý,good
138,cesta,way
139,bez,without
140,objednávka,order
141,velký,great
142,americký,american
143,zatímco,while
144,muž,man
145,však,however
147,dlouho,long
148,vysoký,high
149,nás,us
150,národní,national
151,právo,right
152,ano,does
153,město,city
154,vláda,government
155,informace,information
156,jen,just
157,v,within
158,škola,school
159,proti,against
160,nalezen,found
161,moc,power
162,zde,here
163,svět,world
164,vlastní,own
165,další,another
167,výbor,committee
168,podnikání,business
169,dané,given
170,vědět,know
171,naprogramovat,program
172,málo,little
173,od,since
174,současnost,present
175,každý,every
176,dům,house
177,muži,men
178,zpráva,report
179,univerzita,university
180,následující,following
181,méně,less
182,zadní,back
183,místo,place
184,celkový,total
185,velký,large
186,vzít,take
187,oddělení,department
188,dolů,down
189,malý,small
190,hrabství,county
191,druhý,second
192,rozvoj,development
193,řízení,control
194,moc,might
195,výzkum,research
196,kancelář,office
197,poslední,last
198,bod,point
199,formulář,form
200,rada,board
